ds,traffic_real,traffic_forecast_without_corona,delta,delta_percent,znr
2021-03-01,46012,36139,9873,27.32,1608
2021-03-02,47360,37351,10009,26.8,1608
2021-03-03,47360,37446,9914,26.48,1608
2021-03-04,47360,37468,9892,26.4,1608
2021-03-05,48432,38263,10169,26.58,1608
2021-03-06,39910,28079,11831,42.13,1608
2021-03-07,32136,25046,7090,28.31,1608
2021-03-08,46012,36593,9419,25.74,1608
2021-03-09,47360,37718,9642,25.56,1608
2021-03-10,47360,37725,9635,25.54,1608
2021-03-11,47360,37659,9701,25.76,1608
2021-03-12,48432,38371,10061,26.22,1608
2021-03-13,39910,28108,11802,41.99,1608
2021-03-14,32136,25004,7132,28.52,1608
2021-03-15,46012,36490,9522,26.09,1608
2021-03-16,47360,37564,9796,26.08,1608
2021-03-17,47360,37531,9829,26.19,1608
2021-03-18,47360,37439,9921,26.5,1608
2021-03-19,48432,38137,10295,26.99,1608
2021-03-20,39910,27872,12038,43.19,1608
2021-03-21,32136,24779,7357,29.69,1608
2021-03-22,46012,36286,9726,26.8,1608
2021-03-23,47360,37392,9968,26.66,1608
2021-03-24,47360,37399,9961,26.63,1608
2021-03-25,47360,37353,10007,26.79,1608
2021-03-26,48432,38101,10331,27.11,1608
2021-03-27,39910,27890,12020,43.1,1608
2021-03-28,32136,24850,7286,29.32,1608
2021-03-29,46012,36408,9604,26.38,1608
2021-03-30,47360,37561,9799,26.09,1608
2021-03-31,47360,37610,9750,25.92,1608
2021-04-01,44519,37598,6921,18.41,1608
2021-04-02,44565,38372,6193,16.14,1608
2021-04-03,32652,28176,4476,15.89,1608
2021-04-04,28891,25142,3749,14.91,1608
2021-04-05,44951,36695,8256,22.5,1608
2021-04-06,44519,37831,6688,17.68,1608
2021-04-07,44519,37854,6665,17.61,1608
2021-04-08,44519,37806,6713,17.76,1608
2021-04-09,44565,38536,6029,15.65,1608
2021-04-10,32652,28289,4363,15.42,1608
2021-04-11,28891,25198,3693,14.66,1608
2021-04-12,44951,36691,8260,22.51,1608
2021-04-13,44519,37767,6752,17.88,1608
2021-04-14,44519,37728,6791,18.0,1608
2021-04-15,44519,37622,6897,18.33,1608
2021-04-16,44565,38299,6266,16.36,1608
2021-04-17,32652,28005,4647,16.59,1608
2021-04-18,28891,24875,4016,16.14,1608
2021-04-19,44951,36339,8612,23.7,1608
2021-04-20,44519,37395,7124,19.05,1608
2021-04-21,44519,37349,7170,19.2,1608
2021-04-22,44519,37247,7272,19.52,1608
2021-04-23,44565,37939,6626,17.46,1608
2021-04-24,32652,27672,4980,18.0,1608
2021-04-25,28891,24579,4312,17.54,1608
2021-04-26,44951,36089,8862,24.56,1608
2021-04-27,44519,37199,7320,19.68,1608
2021-04-28,44519,37212,7307,19.64,1608
2021-04-29,44519,37174,7345,19.76,1608
2021-04-30,44565,37931,6634,17.49,1608
2021-05-01,18375,27728,-9353,-33.73,1608
2021-05-02,15636,24697,-9061,-36.69,1608
2021-05-03,21132,36263,-15131,-41.73,1608
2021-05-04,21770,37423,-15653,-41.83,1608
2021-05-05,21770,37477,-15707,-41.91,1608
2021-05-06,21770,37468,-15698,-41.9,1608
